課程編號,課程名稱,上課日,開課日期,上/下午,上課時間,課程,每課,費用,會員費用,狀況
KV30196,密閉空間核准工人訓練課程,星期五,12月10日,上午,9:00-6:00,全期1課,8小時,320元,288元,網上名額已滿
HD30198D,強制性基本安全訓練(平安咭),星期一,10月18日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
KH30198L,強制性基本安全訓練(平安咭),星期五,10月22日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
KV30198A,強制性基本安全訓練(平安咭),星期五,10月29日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,網上名額已滿
KB30185B,汽車保養檢修知識初階,星期一,10月18日,晚上,7:00-9:30,全期4課,2小時30分,640元,576元,網上名額已滿
NK30191B,汽車(冷氣原理、檢查及維修)保養入門,星期六,日,10月16日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30193C,貨車吊機新手操作員訓練課程,星期一,二,三,四,五,10月18日,上午,9:00-5:00,全期14課,7小時,9500元,8550元,不接受網上報名
KD30195EA,氣體焊接安全訓練(重新甄審)資格,星期四,11月18日,晚上,6:45-10:15,全期1課,3小時30分,150元,135元,不接受網上報名
KV30197,密閉空間作業核准工人安全訓練(重新,星期五,12月17日,上午,9:00-5:00,全期1課,7小時,320元,288元,不接受網上報名
KF30198H,強制性基本安全訓練(平安咭),星期二,10月26日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
KH30198M,強制性基本安全訓練(平安咭),星期五,10月29日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
KV30198B,強制性基本安全訓練(平安咭),星期五,11月05日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,可接受報名
NK30198J,強制性基本安全訓練(平安咭),星期日,10月24日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
NK30198L,強制性基本安全訓練(平安咭),星期日,11月07日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
NK30198N,強制性基本安全訓練(平安咭),星期日,11月28日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
NK30198Q,強制性基本安全訓練(平安咭),星期日,12月12日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
HD30200AB,強制性基本安全訓練(平安咭)重新甄審,星期二,10月19日,上午,9:30-1:00,全期1課,3小時30分,80元,72元,不接受網上報名
KV30200AB,強制性基本安全訓練(平安咭)重新甄審 *,星期一,10月18日,上午,9:30-1:00,全期1課,3小時30分,80元,72元,課程已取消
KV30200EB,強制性基本安全訓練(平安咭)重新甄審,星期二,11月09日,下午,2:00-5:30,全期1課,3小時30分,80元,72元,不接受網上報名
NK30198H,強制性基本安全訓練(平安咭) *,星期日,10月17日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,課程已取消
NK30198K,強制性基本安全訓練(平安咭),星期日,10月31日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
NK30198M,強制性基本安全訓練(平安咭),星期日,11月21日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
NK30198P,強制性基本安全訓練(平安咭),星期日,12月05日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
NK30198R,強制性基本安全訓練(平安咭),星期日,12月19日,上午,9:00-5:30,全期1課,7小時30分,150元,135元,不接受網上報名
KH30200EF,強制性基本安全訓練(平安咭)重新甄審,星期三,10月27日,晚上,6:50-10:20,全期1課,3小時30分,80元,72元,不接受網上報名
KV30200EA,強制性基本安全訓練(平安咭)重新甄審,星期二,11月02日,下午,2:00-5:30,全期1課,3小時30分,80元,72元,不接受網上報名
NK30200AD,強制性基本安全訓練(平安咭)重新甄審,星期六,10月23日,下午,2:00-5:30,全期1課,3小時30分,80元,72元,不接受網上報名
NK30200AF,強制性基本安全訓練(平安咭)重新甄審,星期六,12月11日,下午,2:00-5:30,全期1課,3小時30分,80元,72元,不接受網上報名
HC30202BG,駕駛改進計劃,星期六,10月16日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BI,駕駛改進計劃,星期二,10月19日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BK,駕駛改進計劃,星期六,10月23日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BM,駕駛改進計劃,星期二,10月26日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BO,駕駛改進計劃,星期六,10月30日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CB,駕駛改進計劃,星期二,11月02日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
NK30200AE,強制性基本安全訓練(平安咭)重新甄審,星期六,11月27日,下午,2:00-5:30,全期1課,3小時30分,80元,72元,不接受網上報名
KV30201A,安全健康督導員(建造業)證書〈SS〉,星期五,10月29日,晚上,7:00-10:00,全期14課,3小時,1120元,1008元,網上名額已滿
HC30202BH,駕駛改進計劃,星期一,10月18日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BJ,駕駛改進計劃,星期四,10月21日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BL,駕駛改進計劃,星期一,10月25日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202BN,駕駛改進計劃,星期四,10月28日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CA,駕駛改進計劃,星期日,11月14日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CC,駕駛改進計劃,星期四,11月04日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CE,駕駛改進計劃,星期二,11月09日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CG,駕駛改進計劃,星期六,11月13日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CI,駕駛改進計劃,星期四,11月18日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CK,駕駛改進計劃,星期二,11月23日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CM,駕駛改進計劃,星期六,11月27日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CO,駕駛改進計劃,星期二,11月30日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30203C,駕駛改進計劃,星期二,四,11月23日,晚上,6:30-10:30,全期2課,4小時,650元,650元,不接受網上報名
HC30202CD,駕駛改進計劃,星期一,11月08日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CF,駕駛改進計劃,星期四,11月11日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CH,駕駛改進計劃,星期二,11月16日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CJ,駕駛改進計劃,星期一,11月22日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CL,駕駛改進計劃,星期四,11月25日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30202CN,駕駛改進計劃,星期一,11月29日,上午,9:00-5:00,全期1課,7小時,650元,650元,不接受網上報名
HC30203B,駕駛改進計劃,星期二,四,10月19日,晚上,6:30-10:30,全期2課,4小時,650元,650元,不接受網上報名
KV30205,樹木工作安全訓練證明書課程,星期日,10月31日,上午,10:00-6:00,全期1課,7小時,250元,225元,網上名額已滿
HD30208C,公共服務車輛司機職前課程(基礎單元),星期四,11月04日,上午,9:00-6:00,全期1課,8小時,750元,675元,可接受報名
KV30209,磨輪安全安裝訓練證明書,星期日,01月16日,上午,10:00-5:00,全期1課,6小時,250元,225元,網上名額已滿
LA30211,空運危險品專業課程(Cat 1;3),星期日,11月14日,上午,10:00-6:00,全期5課,8小時,3000元,2700元,可接受報名
KV30214,電焊安全操作訓練,星期日,01月23日,上午,10:00-6:00,全期1課,7小時,250元,225元,網上名額已滿
NK30215BQ,家居維修知識,星期五,11月05日,晚上,7:00-10:00,全期12課,1小時30分,910元,819元,可接受報名
NK30217AQ,家居維修實習進階班,星期六,12月04日,上午,10:00-5:00,全期10課,3小時,2600元,2340元,網上名額已滿
LK30224EQ,油漆粉飾全科實習班,星期日,10月17日,上午,10:00-5:00,全期12課,2小時30分,2330元,2097元,網上名額已滿
NK30206,樹木工作安全訓練證明書重溫課程,星期日,11月21日,下午,2:00-5:30,全期1課,3小時30分,150元,135元,可接受報名
HD30208D,公共服務車輛司機職前課程(基礎單元),星期四,12月09日,上午,9:00-6:00,全期1課,8小時,750元,675元,可接受報名
KA30210,空運危險品認知証書(CAT4;5),星期日,10月24日,下午,2:00-6:00,全期1課,4小時,250元,225元,可接受報名
LA30212,處理空運鋰電池基本知識,星期日,12月12日,下午,1:30-6:30,全期1課,4小時,330元,297元,可接受報名
KV30215CQ,家居維修知識,星期二,11月02日,上午,10:00-1:00,全期12課,1小時30分,910元,819元,網上名額已滿
NK30216BQ,家居維修實習班,星期三,10月27日,上午,10:00-4:00,全期12課,2小時30分,2300元,2070元,網上名額已滿
KJ30223,木器傢俬油漆實習速成班,星期日,10月24日,上午,10:00-5:00,全期2課,6小時,1240元,1116元,可接受報名
NK30224BQ,油漆粉飾全科實習班,星期四,11月04日,上午,10:00-5:00,全期12課,2小時30分,2330元,2097元,可接受報名
NK30228A,藝術油漆實習班,星期六,11月20日,上午,10:00-5:00,全期5課,6小時,2630元,2367元,可接受報名
KR30229B,裝飾藝術-木器彩繪實習班,星期五,11月19日,上午,10:00-12:30,全期4課,2小時30分,920元,828元,可接受報名
KV30230B,水喉潔具初階,星期五,10月29日,晚上,8:35-10:05,全期11課,1小時30分,810元,729元,網上名額已滿
NK30230CQ,水喉潔具初階,星期一,11月01日,上午,10:00-4:30,全期11課,1小時30分,810元,729元,網上名額已滿
NK30230DQ,水喉潔具初階,星期一,12月06日,上午,10:00-4:30,全期11課,1小時30分,810元,729元,可接受報名
NK30231BQ,水喉潔具進階,星期三,11月03日,晚上,7:00-9:45,全期11課,1小時30分,840元,756元,可接受報名
LP30232D,家居水務維修實習速成班,星期日,10月31日,上午,10:00-5:00,全期1課,6小時,760元,684元,網上名額已滿
NK30226BQ,髹漆及裝飾技能(中工)測試實習班,星期六,11月06日,上午,10:00-5:15,全期5課,2小時30分,1340元,1206元,可接受報名
KR30229A,裝飾藝術-木器彩繪實習班,星期一,11月08日,晚上,7:15-9:45,全期4課,2小時30分,920元,828元,可接受報名
KV30230A,水喉潔具初階,星期四,10月21日,晚上,7:00-8:30,全期11課,1小時30分,810元,729元,網上名額已滿
KV30230C,水喉潔具初階,星期四,10月21日,晚上,8:40-10:10,全期11課,1小時30分,810元,729元,網上名額已滿
NK30230D,水喉潔具初階 *,星期四,12月02日,上午,10:00-5:00,全期11課,1小時30分,810元,729元,課程已取消
KV30231,水喉潔具進階,星期五,10月29日,晚上,6:55-8:25,全期11課,1小時30分,840元,756元,可接受報名
LP30232C,家居水務維修實習速成班,星期日,10月17日,上午,10:00-5:00,全期1課,6小時,760元,684元,網上名額已滿
NK30232C,家居水務維修實習速成班,星期四,11月11日,上午,10:00-5:00,全期1課,6小時,760元,684元,可接受報名
LP30233B,家居水務裝配實習課程,星期四,10月21日,晚上,7:30-10:00,全期6課,2小時30分,1900元,1710元,網上名額已滿
NK30236A,家居及辦公室水電小型維修實務證書,星期五,10月22日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,網上名額已滿
NK30237B,家居(水務、用電)檢查課程,星期四,11月11日,晚上,7:00-9:30,全期4課,2小時30分,870元,783元,可接受報名
NK30239AQ,水喉工(中級)工藝測試實習速成班,星期四,12月09日,上午,10:00-5:00,全期4課,3小時,1370元,1233元,可接受報名
LP30241,應考水喉(大工)技能測試實習課程,星期一,三,10月25日,晚上,7:15-10:15,全期12課,3小時,3410元,3069元,網上名額已滿
NK30246B,初級《金屬工》電弧焊接打磨練習速成班,星期四,11月11日,上午,10:00-5:00,全期2課,6小時,1710元,1539元,可接受報名
KV30249,三級消防牌考試課程,星期二,10月19日,晚上,7:30-10:00,全期12課,2小時30分,2320元,2088元,可接受報名
NK30232D,家居水務維修實習速成班,星期四,12月02日,上午,10:00-5:00,全期1課,6小時,760元,684元,不接受網上報名
NK30233BQ,家居水務裝配實習課程,星期五,11月12日,上午,10:00-4:00,全期6課,2小時30分,1900元,1710元,可接受報名
LP30237,家居(水務、用電)檢查課程,星期五,11月19日,晚上,7:30-10:00,全期4課,2小時30分,870元,783元,可接受報名
LP30239C,水喉工(中級)工藝測試實習速成班,星期六,10月30日,晚上,7:15-10:15,全期4課,3小時,1370元,1233元,可接受報名
NK30239C,水喉工(中級)工藝測試實習速成班,星期六,11月06日,晚上,6:30-9:30,全期4課,3小時,1370元,1233元,可接受報名
LP30244D,潔具維修保養實習初階,星期六,10月16日,下午,1:45-6:45,全期2課,5小時,1030元,927元,可接受報名
NK30247B,C428-金屬工中級工藝應試實習班,星期四,12月02日,上午,9:20-5:00,全期3課,6小時40分,2320元,2088元,可接受報名
KD30251,大工技能測試『電氣佈線工』備試實習,星期日,11月21日,上午,9:00-5:00,全期4課,7小時,2930元,2637元,可接受報名
LP30252,中級「水電工」技能測試實習速成班,星期六,11月06日,上午,10:00-5:00,全期6課,6小時,2690元,2421元,可接受報名
NK30253B,消防電氣裝配工(中工)應試實習班,星期日,12月05日,上午,9:30-5:00,全期2課,6小時30分,1760元,1584元,可接受報名
KC30257,細木工(大工)技能測試實習班,星期一,11月01日,晚上,7:30-10:00,全期7課,2小時30分,2300元,2070元,可接受報名
LJ30258B,木地板鋪設維修護養及(中工)測試課程,星期六,10月16日,上午,10:00-6:00,全期3課,7小時,2330元,2097元,網上名額已滿
KJ30262A,網購家居木傢俬組裝實務知識課程,星期四,12月02日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
NK30262A,網購家居木傢俬組裝實務知識課程,星期二,10月26日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
KJ30268CQ,家居木工工藝實習初階,星期六,11月27日,上午,9:30-6:00,全期12課,2小時30分,2550元,2295元,不接受網上報名
NK30251B,大工技能測試『電氣佈線工』備試實習,星期日,11月07日,上午,9:00-5:00,全期4課,7小時,2930元,2637元,可接受報名
NK30252AQ,中級「水電工」技能測試實習速成班,星期二,10月26日,晚上,7:00-10:00,全期6課,6小時,2690元,2421元,可接受報名
NK30254BQ,電氣佈線工(中級)工藝測試備試課程,星期四,11月04日,晚上,6:30-10:00,全期3課,7小時,2300元,2070元,可接受報名
LJ30257B,細木工(大工)技能測試實習班,星期三,12月01日,晚上,7:30-10:00,全期7課,2小時30分,2300元,2070元,不接受網上報名
LJ30258C,木地板鋪設維修護養及(中工)測試課程,星期六,12月04日,上午,10:00-6:00,全期3課,7小時,2330元,2097元,不接受網上報名
KJ30262B,網購家居木傢俬組裝實務知識課程,星期日,11月21日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
NK30262B,網購家居木傢俬組裝實務知識課程,星期六,11月20日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
NK30268CQ,家居木工工藝實習初階,星期六,11月20日,上午,10:00-5:00,全期12課,2小時30分,2550元,2295元,網上名額已滿
NK30269BQ,家居木工工藝實習進階,星期三,11月10日,上午,10:00-5:00,全期12課,2小時30分,2660元,2394元,可接受報名
LJ30270C,家居門鎖安裝實習班,星期四,12月02日,晚上,7:30-10:00,全期5課,2小時30分,980元,882元,不接受網上報名
NK30273C,假天花(大工)應試班課程,星期日,11月28日,上午,10:00-5:00,全期3課,6小時,2530元,2277元,可接受報名
NK30275A,批盪工(大工)技能測試實習課程,星期六,10月30日,上午,10:00-5:00,全期3課,6小時,2500元,2250元,可接受報名
NK30276B,鋪瓦工(大工)技能測試實習課程,星期日,10月31日,上午,10:00-5:00,全期3課,6小時,2500元,2250元,可接受報名
NK30277C,砌磚工藝實習課程,星期五,11月19日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30278C,批盪工藝實習課程,星期五,11月19日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30268DQ,家居木工工藝實習初階,星期一,三,12月06日,上午,10:00-5:00,全期12課,2小時30分,2550元,2295元,可接受報名
LJ30270B,家居門鎖安裝實習班,星期四,10月21日,晚上,7:30-10:00,全期5課,2小時30分,980元,882元,網上名額已滿
NK30272C,假天花工實習訓練課程,星期日,11月07日,上午,10:00-5:00,全期2課,6小時,1380元,1242元,可接受報名
NK30274B,砌磚工(大工)技能測試實習課程,星期六,10月30日,上午,10:00-5:00,全期3課,6小時,2500元,2250元,可接受報名
NK30276A,鋪瓦工(大工)技能測試實習課程,星期六,12月04日,上午,10:00-5:00,全期3課,6小時,2500元,2250元,可接受報名
NK30277B,砌磚工藝實習課程,星期五,11月05日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30278B,批盪工藝實習課程,星期五,11月05日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30279B,鋪瓦工藝實習課程,星期五,11月05日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30280B,批盪工(中級)工藝應試實習班,星期日,12月05日,上午,10:00-5:00,全期3課,6小時,2120元,1908元,可接受報名
NK30282B,砌磚工(中級)工藝測試應試實習班,星期日,12月05日,上午,10:00-5:00,全期3課,6小時,2120元,1908元,可接受報名
NK30284B,窗框中工、玻璃中工技能訓練實習班,星期日,11月07日,上午,9:00-5:00,全期3課,7小時,2700元,2430元,可接受報名
NK30286B,平水工(中工)工藝應試實習班,星期日,11月07日,上午,10:00-5:30,全期4課,6小時30分,2300元,2070元,可接受報名
KV30294,鋁窗檢驗計劃、作業備考及中級工藝測試,星期二,10月19日,上午,9:45-5:00,全期2課,6小時15分,1120元,1008元,可接受報名
NK30296,大工測試『窗框工』備試實習課程,星期六,10月23日,上午,9:30-5:00,全期3課,6小時30分,2750元,2475元,可接受報名
NK30298,鋁質工藝(套窗及改窗)技術提升課程,星期三,11月10日,上午,9:30-4:30,全期3課,6小時,2950元,2655元,可接受報名
NK30279C,鋪瓦工藝實習課程,星期五,11月19日,上午,10:00-5:00,全期2課,6小時,1350元,1215元,可接受報名
NK30281B,鋪瓦工(中級)工藝應試實習班,星期日,12月05日,上午,10:00-5:00,全期3課,6小時,2280元,2052元,可接受報名
KV30283,泥水小型工程管理實務証書,星期二,01月04日,晚上,7:15-10:15,全期1課,3小時,210元,189元,網上名額已滿
NK30285BQ,玻璃(大工)技能訓練實習班,星期日,12月12日,上午,9:30-5:30,全期4課,3小時30分,1950元,1755元,可接受報名
NK30287B,金屬棚架助理實習班,星期四,五,12月16日,上午,10:00-5:00,全期2課,6小時,1370元,1233元,可接受報名
NK30295B,窗框工(中工)工藝應試實習班,星期六,12月04日,上午,10:00-5:00,全期2課,6小時,1900元,1710元,可接受報名
NK30297B,玻璃工(中工)工藝應試實習班,星期日,11月14日,上午,9:00-5:00,全期1課,7小時,850元,765元,可接受報名
NK30299B,鋁質工藝(更換玻璃門地鉸及配件),星期日,12月05日,上午,9:00-5:00,全期1課,7小時,950元,855元,可接受報名
KH30301,泳池水質處理及機房操作保養証書課程,星期一,11月29日,晚上,7:00-10:00,全期3課,3小時,1050元,945元,可接受報名
NK30304B,混凝土修補工(混凝土剝落)實習訓練班,星期四,五,12月02日,上午,10:00-5:00,全期3課,6小時,2300元,2070元,可接受報名
LY30312,屋宇署「小型工程監管制度」全科,星期四,11月04日,晚上,7:00-10:00,全期3課,3小時,590元,531元,可接受報名
KT30327,樹木檢測訓練入門,星期日,11月14日,上午,9:00-4:00,全期1課,6小時,340元,306元,可接受報名
NK30350B,電焊工技術訓練實習課程,星期六,12月04日,上午,10:00-5:00,全期3課,6小時,2600元,2340元,可接受報名
NK30355,鋁質氬焊技術員訓練課程,星期六,日,12月04日,上午,10:00-5:00,全期4課,6小時,4500元,4050元,可接受報名
NK30359A,消防機械設備安裝(消防花灑)訓練證書,星期一,10月25日,上午,10:00-5:00,全期3課,6小時,2500元,2250元,可接受報名
NK30300,鋁質工藝(多點窗鎖;安全裝置;趟門轆),星期日,10月24日,上午,9:00-5:00,全期2課,7小時,1950元,1755元,可接受報名
NK30303B,混凝土修補工(混凝土剝落)大工測試,星期四,五,11月04日,上午,9:00-5:00,全期3課,7小時,2600元,2340元,可接受報名
NK30306C,樓廠工地測量初級實習班,星期日,12月05日,上午,10:00-5:00,全期3課,6小時,1700元,1530元,可接受報名
NK30321B,蟲害控制技術實務課程,星期一,二,三,11月08日,上午,10:00-5:00,全期3課,6小時,980元,882元,可接受報名
NK30333B,水喉工(中級)工藝測試實習速成進階班,星期六,12月11日,晚上,6:30-9:30,全期4課,3小時,1670元,1503元,可接受報名
NK30351,普通焊接工(中工)工藝應試實習班,星期六,10月30日,上午,10:00-5:00,全期4課,6小時,3300元,2970元,可接受報名
KV30356AQ,強制性基本安全訓練(建築工程)基礎,星期五,10月22日,上午,9:00-5:30,全期2課,3小時45分,75元,0元,不接受網上報名
KA30363,工作場所的職安健風險評估及管理,星期日,12月19日,上午,10:00-5:00,全期1課,6小時,390元,351元,可接受報名
KV30368,職安健安全審核課程,星期日,02月27日,上午,10:00-5:00,全期2課,6小時,900元,810元,網上名額已滿
KV30371,工程師資歷應試研討班,星期六,12月04日,上午,10:30-1:00,全期4課,2小時30分,980元,882元,網上名額已滿
